Position,Mean,Variance 
0,0,0
0.02,0,0
0.04,0,0
0.06,0,0
0.08,0,0
0.1,0,0
0.12,0,0
0.14,0,0
0.16,0,0
0.18,0,0
0.2,0,0
0.22,0,0
0.24,0,0
0.26,0,0
0.28,0,0
0.3,0,0
0.32,0,0
0.34,0,0
0.36,0,0
0.38,0,0
0.4,0,0
0.42,0,0
0.44,0,0
0.46,0,0
0.48,0,0
0.5,0,0
0.52,0,0
0.54,0,0
0.56,0,0
0.58,0,0
0.6,0,0
0.62,0,0
0.64,0,0
0.66,0,0
0.68,0,0
0.7,0,0
0.72,0,0
0.74,0,0
0.76,0,0
0.78,0,0
0.8,0,0
0.82,0,0
0.84,0,0
0.86,0,0
0.88,0,0
0.9,0,0
0.92,0,0
0.94,0,0
0.96,0,0
0.98,0,0
1,0,0
1.02,0,0
1.04,0,0
1.06,0,0
1.08,0,0
1.1,0,0
1.12,0,0
1.14,0,0
1.16,0,0
1.18,0,0
1.2,0,0
1.22,0,0
1.24,0,0
1.26,0,0
1.28,0,0
1.3,0,0
1.32,0,0
1.34,0,0
1.36,0,0
1.38,0,0
1.4,0,0
1.42,0,0
1.44,0,0
1.46,0,0
1.48,0,0
1.5,0,0
1.52,0,0
1.54,0,0
1.56,0,0
1.58,0,0
1.6,0,0
1.62,0,0
1.64,0,0
1.66,0,0
1.68,0,0
1.7,0,0
1.72,0,0
1.74,0,0
1.76,0,0
1.78,0,0
1.8,0,0
1.82,0,0
1.84,0,0
1.86,0,0
1.88,0,0
1.9,0,0
1.92,0,0
1.94,0,0
1.96,0,0
1.98,0,0
2,0,0
2.02,0,0
2.04,0,0
2.06,0,0
2.08,0,0
2.1,0,0
2.12,0,0
2.14,0,0
2.16,0,0
2.18,0,0
2.2,0,0
2.22,0,0
2.24,0,0
2.26,0,0
2.28,0,0
2.3,0,0
2.32,0,0
2.34,0,0
2.36,0,0
2.38,0,0
2.4,0,0
2.42,0,0
2.44,0,0
2.46,0,0
2.48,0,0
2.5,0,0
2.52,0,0
2.54,0,0
2.56,0,0
2.58,0,0
2.6,0,0
2.62,0,0
2.64,0,0
2.66,0,0
2.68,0,0
2.7,0,0
2.72,0,0
2.74,0,0
2.76,0,0
2.78,0,0
2.8,0,0
2.82,0,0
2.84,0,0
2.86,0,0
2.88,0,0
2.9,0,0
2.92,0,0
2.94,0,0
2.96,0,0
2.98,0,0
3,0,0
3.02,0,0
3.04,0,0
3.06,0,0
3.08,0,0
3.1,0,0
3.12,0,0
3.14,0,0
3.16,0,0
3.18,0,0
3.2,0,0
3.22,0,0
3.24,0,0
3.26,0,0
3.28,0,0
3.3,0,0
3.32,0,0
3.34,0,0
3.36,0,0
3.38,0,0
3.4,0,0
3.42,0,0
3.44,0,0
3.46,0,0
3.48,0,0
3.5,0,0
3.52,0,0
3.54,0,0
3.56,0,0
3.58,0,0
3.6,0,0
3.62,0,0
3.64,0,0
3.66,0,0
3.68,0,0
3.7,0,0
3.72,0,0
3.74,0,0
3.76,0,0
3.78,0,0
3.8,0,0
3.82,0,0
3.84,0,0
3.86,0,0
3.88,0,0
3.9,0,0
3.92,0,0
3.94,0,0
3.96,0,0
3.98,0,0
4,0,0
4.02,0,0
4.04,0,0
4.06,0,0
4.08,0,0
4.1,0,0
4.12,0,0
4.14,0,0
4.16,0,0
4.18,0,0
4.2,0,0
4.22,0,0
4.24,0,0
4.26,0,0
4.28,0,0
4.3,0,0
4.32,0,0
4.34,0,0
4.36,0,0
4.38,0,0
4.4,0,0
4.42,0,0
4.44,0,0
4.46,0,0
4.48,0,0
4.5,0,0
4.52,0,0
4.54,0,0
4.56,0,0
4.58,0,0
4.6,0,0
4.62,0,0
4.64,0,0
4.66,0,0
4.68,0,0
4.7,0,0
4.72,0,0
4.74,0,0
4.76,0,0
4.78,0,0
4.8,0,0
4.82,0,0
4.84,0,0
4.86,0,0
4.88,0,0
4.9,0,0
4.92,0,0
4.94,0,0
4.96,0,0
4.98,0,0
5,0,0
5.02,0,0
5.04,2.77295e-07,1.9377e-11
5.06,1.30524e-06,2.8664e-10
5.08,2.32513e-06,5.49719e-10
5.1,3.33705e-06,8.08687e-10
5.12,4.34109e-06,1.06361e-09
5.14,5.33735e-06,1.31457e-09
5.16,6.32592e-06,1.56163e-09
5.18,7.30688e-06,1.80486e-09
5.2,8.28033e-06,2.04432e-09
5.22,9.9902e-06,2.79959e-09
5.24,1.21814e-05,4.04686e-09
5.26,1.43559e-05,5.2752e-09
5.28,1.65141e-05,6.48491e-09
5.3,1.8656e-05,7.67632e-09
5.32,2.11953e-05,9.36266e-09
5.34,2.5223e-05,1.36592e-08
5.36,2.92208e-05,1.78916e-08
5.38,3.3189e-05,2.20612e-08
5.4,3.71278e-05,2.61687e-08
5.42,4.10378e-05,3.02155e-08
5.44,4.4919e-05,3.42023e-08
5.46,4.8772e-05,3.81302e-08
5.48,5.36498e-05,4.45109e-08
5.5,5.94764e-05,5.36856e-08
5.52,6.54809e-05,6.34427e-08
5.54,7.23505e-05,7.62863e-08
5.56,8.01949e-05,9.31198e-08
5.58,8.79833e-05,1.09711e-07
5.6,9.66085e-05,1.30151e-07
5.62,0.000105258,1.50714e-07
5.64,0.000113975,1.71606e-07
5.66,0.000123451,1.96413e-07
5.68,0.000133324,2.2341e-07
5.7,0.000143623,2.52857e-07
5.72,0.00015385,2.81888e-07
5.74,0.000164282,3.12146e-07
5.76,0.000176417,3.53478e-07
5.78,0.000188815,3.96676e-07
5.8,0.000202548,4.50011e-07
5.82,0.000217141,5.1044e-07
5.84,0.000232416,5.76827e-07
5.86,0.000247709,6.43389e-07
5.88,0.000262898,7.09036e-07
5.9,0.000278291,7.76538e-07
5.92,0.000294359,8.50344e-07
5.94,0.000310319,9.23143e-07
5.96,0.000326172,9.94951e-07
5.98,0.00034192,1.06578e-06
6,0.000357563,1.13565e-06
6.02,0.000373102,1.20457e-06
6.04,0.000388541,1.27259e-06
6.06,0.000404942,1.3499e-06
6.08,0.000422893,1.44343e-06
6.1,0.000440742,1.53589e-06
6.12,0.000459362,1.63698e-06
6.14,0.000478005,1.73837e-06
6.16,0.000497867,1.85425e-06
6.18,0.000519244,1.98947e-06
6.2,0.000542195,2.14637e-06
6.22,0.000566204,2.31875e-06
6.24,0.000591067,2.50421e-06
6.26,0.000617617,2.71687e-06
6.28,0.000644885,2.94171e-06
6.3,0.000673238,3.18564e-06
6.32,0.000702548,3.44705e-06
6.34,0.00073192,3.7097e-06
6.36,0.000762667,3.99871e-06
6.38,0.000793223,4.28404e-06
6.4,0.000824837,4.59052e-06
6.42,0.000857554,4.91986e-06
6.44,0.000893056,5.31048e-06
6.46,0.000931045,5.76023e-06
6.48,0.000971674,6.27734e-06
6.5,0.00101316,6.81741e-06
6.52,0.00105507,7.36911e-06
6.54,0.00109839,7.96035e-06
6.56,0.00114294,8.58725e-06
6.58,0.00118933,9.26923e-06
6.6,0.00123781,1.00168e-05
6.62,0.00128699,1.0787e-05
6.64,0.00133661,1.15722e-05
6.66,0.00138669,1.23727e-05
6.68,0.00143884,1.3244e-05
6.7,0.00149525,1.42707e-05
6.72,0.00155462,1.54127e-05
6.74,0.00161423,1.65645e-05
6.76,0.00167516,1.77705e-05
6.78,0.00174025,1.91546e-05
6.8,0.00180869,2.06911e-05
6.82,0.001883,2.25134e-05
6.84,0.00196019,2.44857e-05
6.86,0.00204159,2.66871e-05
6.88,0.00212522,2.90156e-05
6.9,0.00221213,3.15374e-05
6.92,0.00230325,3.43195e-05
6.94,0.00239994,3.74649e-05
6.96,0.0025026,4.10255e-05
6.98,0.00260751,4.47496e-05
7,0.00271498,4.86639e-05
7.02,0.00282428,5.2719e-05
7.04,0.00293832,5.71475e-05
7.06,0.00305831,6.20685e-05
7.08,0.00318284,6.73832e-05
7.1,0.00331195,7.31115e-05
7.12,0.00344482,7.91924e-05
7.14,0.00358316,8.5803e-05
7.16,0.00372635,9.29047e-05
7.18,0.00387666,0.000100757
7.2,0.0040338,0.000109368
7.22,0.00419877,0.00011889
7.24,0.00436949,0.000129113
7.26,0.0045464,0.000140119
7.28,0.00473208,0.000152285
7.3,0.00492465,0.000165404
7.32,0.00512622,0.000179824
7.34,0.00533785,0.000195773
7.36,0.00556222,0.000213768
7.38,0.00579462,0.00023312
7.4,0.00603701,0.00025423
7.42,0.00628643,0.000276626
7.44,0.00654569,0.000300889
7.46,0.00681804,0.000327751
7.48,0.00709904,0.000356409
7.5,0.00739522,0.000388358
7.52,0.00770441,0.000423271
7.54,0.00802822,0.000461682
7.56,0.00837399,0.000505657
7.58,0.00873945,0.000554944
7.6,0.00912799,0.000610853
7.62,0.00954217,0.000674614
7.64,0.00997423,0.000744162
7.66,0.0104256,0.000820244
7.68,0.0108984,0.00090397
7.7,0.0113873,0.000993648
7.72,0.0118954,0.00109074
7.74,0.0124243,0.00119618
7.76,0.0129868,0.00131586
7.78,0.013578,0.00144846
7.8,0.0141965,0.00159394
7.82,0.0148467,0.00175516
7.84,0.01553,0.00193374
7.86,0.0162638,0.00214046
7.88,0.0170517,0.00237961
7.9,0.017884,0.00264725
7.92,0.0187826,0.00296034
7.94,0.0197485,0.00332327
7.96,0.0207921,0.00374844
7.98,0.0219227,0.00424902
8,0.0239093,0.00581709
8.02,0.0261687,0.00784975
8.04,0.0285512,0.0101121
8.06,0.030899,0.0123084
8.08,0.0333022,0.0146113
8.1,0.035631,0.0167717
8.12,0.0379651,0.0189425
8.14,0.0402191,0.0209638
8.16,0.0425573,0.0231432
8.18,0.0449869,0.025501
8.2,0.0473375,0.0277044
8.22,0.0496293,0.0297959
8.24,0.0518815,0.0318135
8.26,0.0541443,0.0338514
8.28,0.0563904,0.0358584
8.3,0.0586894,0.0379656
8.32,0.0608987,0.0399051
8.34,0.063147,0.0419174
8.36,0.0653201,0.0437915
8.38,0.0675411,0.045754
8.4,0.0697586,0.0477106
8.42,0.0720033,0.0497188
8.44,0.0742767,0.0517823
8.46,0.0766214,0.0539857
8.48,0.0788494,0.0559634
8.5,0.0810316,0.0578559
8.52,0.0832202,0.0597609
8.54,0.0853641,0.061584
8.56,0.0874851,0.0633658
8.58,0.0895916,0.065122
8.6,0.0917004,0.0668832
8.62,0.0937969,0.0686228
8.64,0.0958894,0.0703557
8.66,0.0979729,0.0720732
8.68,0.100046,0.0737728
8.7,0.10211,0.0754568
8.72,0.104201,0.0771907
8.74,0.10624,0.0788312
8.76,0.108279,0.0804719
8.78,0.110247,0.0819906
8.8,0.112127,0.0833592
8.82,0.114105,0.0848961
8.84,0.1161,0.0864634
8.86,0.11812,0.0880764
8.88,0.120159,0.0897252
8.9,0.122153,0.0912922
8.92,0.124118,0.0928102
8.94,0.126069,0.0943039
8.96,0.127966,0.0957071
8.98,0.129839,0.0970695
9,0.13176,0.0985151
9.02,0.133683,0.0999641
9.04,0.135636,0.101468
9.06,0.137583,0.102961
9.08,0.139505,0.104412
9.1,0.141389,0.105798
9.12,0.143307,0.107245
9.14,0.145205,0.108656
9.16,0.147074,0.110019
9.18,0.148851,0.11123
9.2,0.150702,0.112565
9.22,0.152548,0.113892
9.24,0.154294,0.115054
9.26,0.156091,0.116301
9.28,0.15792,0.117603
9.3,0.159701,0.118826
9.32,0.161547,0.12016
9.34,0.163343,0.121409
9.36,0.165127,0.122641
9.38,0.166893,0.123841
9.4,0.168665,0.125055
9.42,0.170426,0.12625
9.44,0.172159,0.127401
9.46,0.173899,0.128564
9.48,0.175558,0.129598
9.5,0.177193,0.130596
9.52,0.178887,0.131688
9.54,0.180568,0.13276
9.56,0.182223,0.133792
9.58,0.183893,0.134849
9.6,0.185578,0.135931
9.62,0.187322,0.137113
9.64,0.189003,0.138191
9.66,0.190709,0.139311
9.68,0.192348,0.140323
9.7,0.194007,0.141371
9.72,0.195712,0.142493
9.74,0.197379,0.143555
9.76,0.199011,0.144561
9.78,0.200603,0.145504
9.8,0.202217,0.146485
9.82,0.203839,0.147478
9.84,0.205409,0.148392
9.86,0.207043,0.149409
9.88,0.208656,0.150392
9.9,0.210252,0.151349
9.92,0.211828,0.152276
9.94,0.213399,0.153197
9.96,0.215001,0.154169
9.98,0.216567,0.155084
10,0.218134,0.156003
10.02,0.219639,0.156826
10.04,0.221216,0.157763
10.06,0.222799,0.158711
10.08,0.224398,0.159684
10.1,0.225941,0.160572
10.12,0.227477,0.161449
10.14,0.228975,0.162269
10.16,0.230463,0.163075
10.18,0.231996,0.16395
10.2,0.233472,0.164741
10.22,0.23496,0.16555
10.24,0.236536,0.1665
10.26,0.237993,0.167265
10.28,0.239445,0.168024
10.3,0.240944,0.168855
10.32,0.242444,0.169689
10.34,0.243863,0.170404
10.36,0.245273,0.171105
10.38,0.246679,0.171802
10.4,0.248152,0.172601
10.42,0.249642,0.173426
10.44,0.251039,0.174114
10.46,0.252447,0.174818
10.48,0.253858,0.175528
10.5,0.255264,0.176232
10.52,0.256624,0.17687
10.54,0.25795,0.177462
10.56,0.259373,0.178196
10.58,0.260792,0.178924
10.6,0.262158,0.179577
10.62,0.263541,0.180255
10.64,0.264989,0.181032
10.66,0.26637,0.181709
10.68,0.267749,0.182385
10.7,0.269148,0.183093
10.72,0.270468,0.183685
10.74,0.271859,0.184383
10.76,0.273214,0.185029
10.78,0.27456,0.185663
10.8,0.275909,0.186302
10.82,0.277267,0.186956
10.84,0.278606,0.187583
10.86,0.279903,0.188152
10.88,0.281259,0.188806
10.9,0.282561,0.189385
10.92,0.283854,0.189952
10.94,0.285132,0.190499
10.96,0.286417,0.191057
10.98,0.287774,0.19172
11,0.289157,0.192424
11.02,0.290459,0.193009
11.04,0.291776,0.193617
11.06,0.293079,0.194207
11.08,0.29435,0.194752
11.1,0.295658,0.195352
11.12,0.296941,0.195917
11.14,0.298192,0.196436
11.16,0.299457,0.196979
11.18,0.300707,0.1975
11.2,0.301957,0.198023
11.22,0.303152,0.198472
11.24,0.304362,0.198942
11.26,0.305528,0.199355
11.28,0.306721,0.199804
11.3,0.307899,0.200235
11.32,0.309114,0.200718
11.34,0.310384,0.20128
11.36,0.311585,0.201745
11.38,0.312801,0.202231
11.4,0.314009,0.202709
11.42,0.315208,0.203176
11.44,0.316389,0.203619
11.46,0.317621,0.204135
11.48,0.318842,0.204635
11.5,0.320049,0.205118
11.52,0.321231,0.205567
11.54,0.322428,0.206037
11.56,0.323566,0.206431
11.58,0.324729,0.206858
11.6,0.325894,0.207289
11.62,0.327076,0.207744
11.64,0.328271,0.208219
11.66,0.329404,0.208612
11.68,0.330547,0.209018
11.7,0.331742,0.209496
11.72,0.332869,0.209883
11.74,0.333971,0.21024
11.76,0.335105,0.210639
11.78,0.336232,0.211029
11.8,0.337388,0.211462
11.82,0.338506,0.211842
11.84,0.339579,0.212167
11.86,0.340634,0.21247
11.88,0.341694,0.21278
11.9,0.342793,0.213142
11.92,0.34388,0.213488
11.94,0.344961,0.21383
11.96,0.346006,0.214126
11.98,0.347089,0.214472
12,0.348198,0.214853
12.02,0.349345,0.215286
12.04,0.350452,0.215666
12.06,0.3516,0.216105
12.08,0.352715,0.216498
12.1,0.353767,0.21681
12.12,0.354855,0.21717
12.14,0.35591,0.217489
12.16,0.356975,0.217822
12.18,0.358016,0.218124
12.2,0.35904,0.218407
12.22,0.36009,0.218724
12.24,0.361157,0.219064
12.26,0.362191,0.219362
12.28,0.36328,0.219734
12.3,0.364347,0.220078
12.32,0.365361,0.220353
12.34,0.366363,0.220617
12.36,0.367398,0.220922
12.38,0.368495,0.221312
12.4,0.369512,0.221596
12.42,0.370515,0.221864
12.44,0.371459,0.222063
12.46,0.372429,0.222293
12.48,0.373436,0.22257
12.5,0.374415,0.222814
12.52,0.375427,0.223099
12.54,0.37644,0.223387
12.56,0.377412,0.223625
12.58,0.378407,0.223893
12.6,0.3794,0.22416
12.62,0.380397,0.224433
12.64,0.3814,0.224714
12.66,0.382391,0.224981
12.68,0.383336,0.225192
12.7,0.384324,0.225458
12.72,0.385315,0.225729
12.74,0.386265,0.22595
12.76,0.387245,0.226209
12.78,0.388211,0.226452
12.8,0.389135,0.226645
12.82,0.390104,0.226894
12.84,0.391087,0.227161
12.86,0.392029,0.227379
12.88,0.392993,0.227626
12.9,0.39394,0.227852
12.92,0.394903,0.228098
12.94,0.395864,0.228344
12.96,0.396888,0.228671
12.98,0.398226,0.229482
13,0.400177,0.231603
13.02,0.402122,0.23371
13.04,0.404061,0.235804
13.06,0.405994,0.237883
13.08,0.407921,0.239949
13.1,0.409842,0.242001
13.12,0.411758,0.244039
13.14,0.413667,0.246064
13.16,0.415571,0.248075
13.18,0.417469,0.250073
13.2,0.419361,0.252058
13.22,0.421248,0.25403
13.24,0.423128,0.255989
13.26,0.425004,0.257935
13.28,0.426873,0.259867
13.3,0.428737,0.261788
13.32,0.430596,0.263695
13.34,0.432448,0.26559
13.36,0.434296,0.267472
13.38,0.436137,0.269343
13.4,0.437973,0.2712
13.42,0.439804,0.273046
13.44,0.44163,0.274879
13.46,0.44345,0.2767
13.48,0.445264,0.278509
13.5,0.447073,0.280307
13.52,0.448877,0.282092
13.54,0.450675,0.283866
13.56,0.452469,0.285628
13.58,0.454257,0.287378
13.6,0.456039,0.289117
13.62,0.457817,0.290845
13.64,0.459589,0.292561
13.66,0.461356,0.294266
13.68,0.463118,0.29596
13.7,0.464875,0.297642
13.72,0.466626,0.299314
13.74,0.468373,0.300975
13.76,0.470114,0.302624
13.78,0.471851,0.304263
13.8,0.473582,0.305891
13.82,0.475309,0.307509
13.84,0.47703,0.309116
13.86,0.478746,0.310712
13.88,0.480458,0.312298
13.9,0.482165,0.313873
13.92,0.483866,0.315438
13.94,0.485563,0.316993
13.96,0.487255,0.318538
13.98,0.488942,0.320073
14,0.490625,0.321597
14.02,0.492302,0.323112
14.04,0.493975,0.324616
14.06,0.495643,0.326111
14.08,0.497306,0.327596
14.1,0.498965,0.329072
14.12,0.500619,0.330537
14.14,0.502268,0.331993
14.16,0.503912,0.33344
14.18,0.505552,0.334877
14.2,0.507187,0.336305
14.22,0.508818,0.337723
14.24,0.510444,0.339132
14.26,0.512066,0.340532
14.28,0.513683,0.341923
14.3,0.515295,0.343304
14.32,0.516904,0.344677
14.34,0.518507,0.346041
14.36,0.520106,0.347395
14.38,0.521701,0.348741
14.4,0.523291,0.350078
14.42,0.524877,0.351407
14.44,0.526458,0.352726
14.46,0.528035,0.354037
14.48,0.529608,0.35534
14.5,0.531176,0.356634
14.52,0.532741,0.357919
14.54,0.5343,0.359196
14.56,0.535856,0.360465
14.58,0.537407,0.361725
14.6,0.538954,0.362977
14.62,0.540497,0.364221
14.64,0.542035,0.365457
14.66,0.54357,0.366685
14.68,0.5451,0.367905
14.7,0.546626,0.369116
14.72,0.548148,0.37032
14.74,0.549665,0.371516
14.76,0.551179,0.372704
14.78,0.552689,0.373885
14.8,0.554194,0.375057
14.82,0.555696,0.376222
14.84,0.557193,0.37738
14.86,0.558686,0.378529
14.88,0.560176,0.379672
14.9,0.561661,0.380806
14.92,0.563142,0.381934
14.94,0.56462,0.383054
14.96,0.566093,0.384166
14.98,0.567563,0.385271
15,0.569028,0.386369
15.02,0.57049,0.38746
15.04,0.571948,0.388544
15.06,0.573402,0.389621
15.08,0.574852,0.39069
15.1,0.576298,0.391753
15.12,0.577741,0.392808
15.14,0.57918,0.393857
15.16,0.580615,0.394898
15.18,0.582046,0.395933
15.2,0.583473,0.396961
15.22,0.584897,0.397983
15.24,0.586316,0.398997
15.26,0.587733,0.400005
15.28,0.589145,0.401007
15.3,0.590554,0.402001
15.32,0.591959,0.402989
15.34,0.59336,0.403971
15.36,0.594758,0.404946
15.38,0.596152,0.405915
15.4,0.597543,0.406877
15.42,0.59893,0.407833
15.44,0.600313,0.408783
15.46,0.601693,0.409727
15.48,0.603069,0.410664
15.5,0.604442,0.411595
15.52,0.605811,0.41252
15.54,0.607176,0.413439
15.56,0.608538,0.414351
15.58,0.609897,0.415258
15.6,0.611252,0.416159
15.62,0.612604,0.417053
15.64,0.613952,0.417942
15.66,0.615297,0.418825
15.68,0.616638,0.419702
15.7,0.617976,0.420573
15.72,0.619311,0.421439
15.74,0.620642,0.422298
15.76,0.62197,0.423152
15.78,0.623294,0.424001
15.8,0.624615,0.424843
15.82,0.625933,0.42568
15.84,0.627247,0.426512
15.86,0.628558,0.427338
15.88,0.629866,0.428158
15.9,0.631171,0.428973
15.92,0.632472,0.429783
15.94,0.63377,0.430587
15.96,0.635064,0.431386
15.98,0.636356,0.432179
16,0.637618,0.432914
16.02,0.638888,0.433667
16.04,0.640222,0.434554
16.06,0.641622,0.435586
16.08,0.643048,0.43668
16.1,0.64454,0.437932
16.12,0.64601,0.43913
16.14,0.647557,0.440517
16.16,0.649049,0.441771
16.18,0.650521,0.442979
16.2,0.652057,0.444343
16.22,0.653659,0.445877
16.24,0.655236,0.447348
16.26,0.656803,0.448796
16.28,0.658394,0.450305
16.3,0.659929,0.451675
16.32,0.661467,0.453051
16.34,0.663011,0.454445
16.36,0.664588,0.455926
16.38,0.666114,0.457277
16.4,0.667671,0.458707
16.42,0.669234,0.460154
16.44,0.670796,0.461601
16.46,0.67241,0.463185
16.48,0.674092,0.464954
16.5,0.67576,0.466687
16.52,0.67743,0.468425
16.54,0.679157,0.470328
16.56,0.6808,0.471995
16.58,0.682508,0.473843
16.6,0.684238,0.475759
16.62,0.685922,0.477542
16.64,0.687612,0.479347
16.66,0.689317,0.481193
16.68,0.691021,0.483037
16.7,0.692777,0.485037
16.72,0.694548,0.487077
16.74,0.696287,0.489028
16.76,0.698042,0.491026
16.78,0.699771,0.49295
16.8,0.701526,0.49495
16.82,0.70332,0.49707
16.84,0.705108,0.499171
16.86,0.706885,0.501242
16.88,0.708673,0.503347
16.9,0.710455,0.505436
16.92,0.712338,0.507837
16.94,0.714105,0.509884
16.96,0.715919,0.512074
16.98,0.717758,0.514343
17,0.719557,0.51649
17.02,0.721334,0.518569
17.04,0.723183,0.520877
17.06,0.725004,0.523094
17.08,0.726855,0.525408
17.1,0.728723,0.527777
17.12,0.730495,0.529851
17.14,0.732292,0.532
17.16,0.734044,0.534015
17.18,0.735764,0.535935
17.2,0.73747,0.537815
17.22,0.739159,0.539646
17.24,0.740872,0.54155
17.26,0.742543,0.543335
17.28,0.744235,0.54518
17.3,0.745961,0.547128
17.32,0.747672,0.549031
17.34,0.74944,0.551108
17.36,0.751138,0.552978
17.38,0.752892,0.555015
17.4,0.754675,0.557142
17.42,0.756553,0.559576
17.44,0.758373,0.561824
17.46,0.760162,0.563974
17.48,0.761943,0.566103
17.5,0.763671,0.568069
17.52,0.765412,0.570076
17.54,0.767195,0.572215
17.56,0.768905,0.574131
17.58,0.770588,0.57597
17.6,0.772327,0.577976
17.62,0.773976,0.579717
17.64,0.775624,0.581456
17.66,0.777253,0.583142
17.68,0.778871,0.584796
17.7,0.780494,0.586467
17.72,0.782094,0.588076
17.74,0.783742,0.589822
17.76,0.785335,0.59141
17.78,0.786964,0.593105
17.8,0.788611,0.594854
17.82,0.790165,0.59634
17.84,0.791716,0.597818
17.86,0.793291,0.599364
17.88,0.794862,0.6009
17.9,0.79646,0.602515
17.92,0.798036,0.60407
17.94,0.799613,0.605628
17.96,0.801169,0.607129
17.98,0.802726,0.608632
18,0.804272,0.610109
18.02,0.805865,0.611719
18.04,0.807428,0.613245
18.06,0.808935,0.614618
18.08,0.810425,0.615944
18.1,0.811875,0.617168
18.12,0.81332,0.61838
18.14,0.814771,0.619607
18.16,0.816264,0.620949
18.18,0.817726,0.622211
18.2,0.819143,0.623354
18.22,0.820555,0.624487
18.24,0.822019,0.625759
18.26,0.823416,0.626855
18.28,0.824818,0.627967
18.3,0.826199,0.629026
18.32,0.827547,0.630006
18.34,0.828948,0.631118
18.36,0.830398,0.632361
18.38,0.831736,0.63332
18.4,0.833046,0.63421
18.42,0.834375,0.635151
18.44,0.835674,0.636018
18.46,0.836892,0.636698
18.48,0.838086,0.637328
18.5,0.839249,0.637889
18.52,0.840376,0.638377
18.54,0.841495,0.63885
18.56,0.842607,0.639311
18.58,0.843748,0.639833
18.6,0.844938,0.640463
18.62,0.846141,0.641124
18.64,0.847318,0.641727
18.66,0.848407,0.642146
18.68,0.84949,0.642555
18.7,0.850557,0.642933
18.72,0.851609,0.643282
18.74,0.852643,0.643599
18.76,0.853696,0.643952
18.78,0.854738,0.644287
18.8,0.855843,0.64475
18.82,0.856897,0.645112
18.84,0.85791,0.645395
18.86,0.858871,0.645581
18.88,0.859828,0.645763
18.9,0.860729,0.645848
18.92,0.861673,0.646009
18.94,0.862561,0.646073
18.96,0.863444,0.646132
18.98,0.864331,0.646199
19,0.865201,0.646238
19.02,0.866049,0.646244
19.04,0.866894,0.646245
19.06,0.867711,0.646203
19.08,0.868567,0.646226
19.1,0.869431,0.646263
19.12,0.870237,0.646208
19.14,0.871122,0.646284
19.16,0.871933,0.646239
19.18,0.872708,0.646142
19.2,0.87344,0.645985
19.22,0.87415,0.645798
19.24,0.874833,0.645576
19.26,0.875511,0.645349
19.28,0.876174,0.645103
19.3,0.8768,0.644814
19.32,0.877416,0.644514
19.34,0.878042,0.644227
19.36,0.878656,0.643927
19.38,0.879278,0.643638
19.4,0.87985,0.643292
19.42,0.880454,0.642985
19.44,0.881008,0.642622
19.46,0.881549,0.642248
19.48,0.882048,0.641831
19.5,0.882523,0.641394
19.52,0.88306,0.641018
19.54,0.883576,0.640623
19.56,0.883997,0.640143
19.58,0.884398,0.639646
19.6,0.884797,0.63915
19.62,0.885217,0.638673
19.64,0.885601,0.638167
19.66,0.885959,0.637645
19.68,0.886349,0.637147
19.7,0.8867,0.636623
19.72,0.887036,0.636089
19.74,0.887334,0.635533
19.76,0.887607,0.634964
19.78,0.887893,0.634404
19.8,0.888133,0.63382
19.82,0.888351,0.633229
19.84,0.888528,0.632622
19.86,0.888655,0.632001
19.88,0.888738,0.631373
19.9,0.88882,0.630746
19.92,0.888885,0.630117
19.94,0.888931,0.629488
19.96,0.888926,0.628858
19.98,0.88891,0.628229
20,0.888022,0.62839
